Type,Sentence,Quality,Price,Packaging,Service,Sentiment
0,"i recently purchased the pepsi cola soda 12oz cans, 24 pack from amazon, and i must say, it was an excellent choice!",1,0,0,0,2
0,"as a long-time fan of pepsi, i was thrilled to find this classic soda available in such a convenient and cost-effective package.",0,0,1,0,2
0,"first and foremost, the taste of pepsi cola remains as delightful as ever.",1,0,0,0,2
0,the perfect balance of sweetness and carbonation makes every sip a refreshing experience.,1,0,0,0,2
0,"whether enjoyed alone or paired with a meal, pepsi's distinct flavor never fails to satisfy my cravings.",1,0,0,0,2
0,the 24-pack size is ideal for stocking up the pantry or for parties and gatherings.,0,0,1,0,2
0,having a sufficient supply of 12oz cans ensures that there's always a cold pepsi ready to be enjoyed.,0,0,0,1,2
0,"the compact cans are easy to handle and fit perfectly in the refrigerator, making them an excellent choice for on-the-go individuals as well.",0,0,1,0,2
0,pepsi's reliable packaging ensures that each can arrives in perfect condition.,0,0,0,1,2
0,"i appreciate the attention to detail in the packaging design, which protects the cans from any potential damage during transit.",0,0,1,0,2
0,"additionally, the cans are easy to open,",0,0,1,0,2
0,"and the carbonation is consistently preserved, ensuring a delightful fizzy experience every time.",1,0,0,0,2
0,.purchasing this 24-pack from amazon was a breeze.,0,0,0,1,2
0,the delivery was prompt.,0,0,0,1,2
0,the product arrived in excellent condition.,0,0,0,1,2
0,"the convenience of having it delivered right to my doorstep saves me time and effort, making it a convenient option for anyone who",0,0,0,1,2
0,loves the taste of pepsi.,1,0,0,0,2
0,"in conclusion, the pepsi cola soda 12oz cans, 24 pack is a fantastic purchase for any pepsi lover.",1,0,0,0,2
0,"with its classic taste,",1,0,0,0,1
0,convenient packaging,0,0,1,0,2
0,and reliable delivery,0,0,0,1,2
0,it offers great value for money.,0,1,0,0,2
1,i highly recommend this product to anyone seeking a refreshing beverage that never disappoints.,1,0,0,0,2
1,cheers to pepsi and its timeless appeal!,1,0,0,0,2
1,i liked small cans just enough,0,0,1,0,2
1,very tasty.,1,0,0,0,2
0,love these mini cans because i can never finish the regular size!,0,0,1,0,2
1,tastes great and is good pricing.,1,1,0,0,2
0,great taste & quantity!,1,0,0,0,2
0,"pepsi, a standard,",1,0,0,0,1
0,write a review about the amazing pepsi zero drink.,1,0,0,0,2
0,"not only does it have zero sugar and calories,",1,0,0,0,1
