,name,date,rating,text
0,Brittany,23-Oct-23,5,"i recently purchased the pepsi cola soda 12oz cans, 24 pack from amazon, and i must say, it was an excellent choice! as a long-time fan of pepsi, i was thrilled to find this classic soda available in such a convenient and cost-effective package.first and foremost, the taste of pepsi cola remains as delightful as ever. the perfect balance of sweetness and carbonation makes every sip a refreshing experience. whether enjoyed alone or paired with a meal, pepsi's distinct flavor never fails to satisfy my cravings.the 24-pack size is ideal for stocking up the pantry or for parties and gatherings. having a sufficient supply of 12oz cans ensures that there's always a cold pepsi ready to be enjoyed. the compact cans are easy to handle and fit perfectly in the refrigerator, making them an excellent choice for on-the-go individuals as well.pepsi's reliable packaging ensures that each can arrives in perfect condition. i appreciate the attention to detail in the packaging design, which protects the cans from any potential damage during transit. additionally, the cans are easy to open, and the carbonation is consistently preserved, ensuring a delightful fizzy experience every time.purchasing this 24-pack from amazon was a breeze. the delivery was prompt, and the product arrived in excellent condition. the convenience of having it delivered right to my doorstep saves me time and effort, making it a convenient option for anyone who loves the taste of pepsi.in conclusion, the pepsi cola soda 12oz cans, 24 pack is a fantastic purchase for any pepsi lover. with its classic taste, convenient packaging, and reliable delivery, it offers great value for money. i highly recommend this product to anyone seeking a refreshing beverage that never disappoints. cheers to pepsi and its timeless appeal!"
1,erma harris,6-Apr-24,5,i liked small cans just enough very tasty.
2,Very good by harold,6-Mar-24,5,i love buying things from amazon because 99% or a good quality the only bad experience i had was with the air mattress wait on it two nights when nothing on and it popped i think it was a manufacturing defect i've had air mattresses all my life and never had one pop like this one did and it was in the scene where it opened up.
3,Samia,28-Feb-24,5,love these mini cans because i can never finish the regular size! tastes great and is good pricing.
4,Asia,24-Feb-24,5,great taste & quantity!
5,Larry,10-Jan-24,4,"pepsi, a standard, but where are the dr. peppers? we want our dr. pepper (please !)."
6,R. Vicevich,2-Nov-23,5,"as a human with a love for all things refreshing, i couldn't help but write a review about the amazing pepsi zero drink. not only does it have zero sugar and calories, but the taste is also incredible. but what truly captured my heart was the old school logo. it's a nostalgic reminder of the classic pepsi taste that has been a staple in my life for years. every time i take a sip of this refreshing drink, i am transported back to my childhood memories. so if you're looking for a delicious and guilt-free beverage, pepsi zero is the way to go. and with the added bonus of the old school logo, it's a no-brainer for me. i highly recommend giving it a try!"
7,Cloven,7-Feb-24,5,my favorite drink we get 2 or 3 cases every 2 weeks.
8,Amazon Customer,3-Feb-24,5,i love this drink.
9,Erica B,1-Dec-23,5,"delicious. hits better than a coke zero and this is coming from someone who prefers coke to pepsi normally. don’t get me wrong, i will still drink an original coke over a pepsi product, but when it comes to sugar free, you can’t go wrong with this bevvy. me and my fiancés both agree that even though we like coke zero, this far exceeds coke zero’s taste."
10,ARC.WSI,23-Jan-24,5,"yummy, that’s all folks."
11,alvin,11-Jan-24,5,how to find which sellers accept snap?
12,Lee,13-Aug-23,4,"coke zero is my favorite diet cola. the cans arrived bashed up at the ends that you had to open. made it difficult to pop the tops. don't know if i would order cans again. amazon has big problems keeping coca-cola in stock. i usually purchase the bottles if they're available, big if. this was the first time i ordered cans, and wasn't pleased in the condition of cans."
13,Terri,9-Nov-23,5,arrived in excellent condition. glad that i didn't hesitate to go for this. may be different depending on what time of year that you purchase. bitter cold temperatures can affect the condition that the cans arrive in.
14,OldieButGoodie,9-Dec-23,5,sugar free mango is a satisfying drink for a diet soda. 5 stars.
15,Meglet,23-Apr-22,5,"i love mango but did not expect this to taste good at all, let alone be my new favorite. it is very mango-y. i am trying to drink much less soda, so i certainly discovered this at the wrong time for that!unfortunately, or fortunately, depending on how i see it, it is very hard to find. so, i’m stocking up a bit at a time, because that’s all i ever come across. i will not buy the really expensive listing, though. not unless i come to real desperation. soda should not be a monetary splurge as well as a dietary one. (well, maybe it should, if it limits intake of something so patently unhealthy as it is yummy!)that’s the risk of liking something unusual like this - and i don’t know if this is limited edition or just less stocked - but if you love it, you’re then stuck chasing more, or eventually having to just enjoy it in sweet memory. and it is very sweet, but pepsi already is a very sweet cola, so i don’t mind it. with the choice between regular pepsi and mango pepsi, i’d go for mango every time, and going back to regular will be strange. so, again, perhaps it’s an altogether good thing i’m drinking soda less and less!"
16,Kimberly Greenlaw,20-Dec-23,5,good value.
17,Rheann Y,6-Dec-23,5,it's pepsi what's there to say.
18,dennis,10-Apr-23,5,my brother and sister said they didn't like it.well my sister actually tried it.my brother just said it sounded gross.heck i mixed dr pepper cream soda with the mango pepsi and heck i didn't even think that sounded gross by any means yet it definitely sounds more gross then mango pepsi.i truthfully think i found the pepsi i prefer and it would be the new mango pepsi.whats odd is that i tried mango pepsi in a can and also the plastic bottle and i normally prefer the plastic bottles cause it usually has a better fizz to the soda in the 16.9 plastic bottle but with the mango pepsi i truthfully prefer the cans.kind of odd but yes i actually think the mango pepsi is pretty darn good.
19,Trashman,8-Nov-23,5,everyone in my family like pepsi 0.there are four diabetics in our house and pepsi 0 is our first choice.
20,PD-68,11-Sep-23,5,one good thing about drinking from the mini cans is controlling the intake of soda. pepsi mini cans are also a lot cheaper than mini plastic bottles and better for recycling. it still has the same pepsi taste and the size cold help you stash more in a small ice chest.
21,Ruperta,3-Dec-23,5,very satisfy.
22,no name should be private,4-Nov-23,5,tastes better than the ones with sugar .... sugar is bad for humans!
23,Mr. Campbell,13-Jul-22,4,"it’s soda.. people know what pepsi is and really don’t need a review for pepsi. but for price and amount of cans is fine i guess. america is corrupt anyway. 24 ounce of pepsi costs more than a 2 liter of pepsi of the same flavor. so spend less to drink more soda? or get a case and try to have more self control with each can. if your teeth get messed up from drinking soda just remember pepsi doesn’t care !! they got your money and that’s all that matters to them.if you do want to choose to drink soda, space it out and think of it as a treat. not a everyday drink!! soda shouldn’t be consumed more than twice a week at the most! you only get one body, treat it well! kidney stones and more is something you don’t want later on in life!! be smart and respect the body you were assigned to!!"
24,Jessica McMullen,9-Nov-23,5,great zero sugar soda.
25,Amazon Customer,18-Sep-23,5,"i wish more care was taken so cans won't arrive damaged, but am glad they arrive in a timely manner."
26,Texas Family,18-Oct-23,5,never a disappointment!
27,Bobbie B.,17-Oct-23,5,no dislikes .
28,Melody Johnson,18-Sep-23,5,arrived fast and day early-- love when that happens.
29,LynnZ.,3-Aug-23,5,i really like these new zero sugar sodas as opposed to the former “diet” sodas. these are cleaner tasting and don’t leave any off-taste after drinking.
30,Amazon customer ,31-Jul-23,5,love these cans cold from the fridge! they are great when i get a chance to try them! will definitely purchase them again!
31,KA LaMesa,22-Jul-23,5,loved the more compact packaging - can you put the whole box in the refrigerator that uses horizontal and vertical space better than the longer narrow boxes.
32,Tristan Robinson,19-May-23,4,"it was delicious, but man i wish these came in bigger sizes."
33,Eric ,25-Aug-23,5,if you don’t know what cherry pepsi is i can’t help you.
34,max garcia,22-Sep-23,5,mmmmmm pepsi.
35,JR,27-Jul-23,5,no early expiration date and tastes exactly like pepsi should. no big surprise.
